name,equipment,primary_muscle,secondary_muscle,video,thumbnail
"21s Bicep Curl","Barbell","Biceps","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/00311201-Barbell-Curl_Upper-Arms.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/00311201-Barbell-Curl_Upper-Arms_thumbnail@3x.jpg"
"Ab Scissors","None","Abdominals","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/62141201-Lying-Scissors-Cross-(male)_Hips_.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/62141201-Lying-Scissors-Cross-(male)_Hips_thumbnail_@3x.jpg"
"Ab Wheel","Other","Abdominals","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/08571201-Wheel-Rollout_Waist.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/08571201-Wheel-Rollout_Waist_thumbnail@3x.jpg"
"Aerobics","None","Cardio","None","None","None"
"Air Bike","Machine","Cardio","None","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/38931101-Assault-Bike-Run_Cardio_small_thumbnail_@3x.jpg"
"Arnold Press (Dumbbell)","Dumbbell","Shoulders","Triceps","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/02871201-Dumbbell-Arnold-Press-II_Shoulders.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/02871201-Dumbbell-Arnold-Press-II_Shoulders_thumbnail@3x.jpg"
"Around The World","Dumbbell","Chest","Upper Back, Shoulders, Lats","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/02881201-Dumbbell-Around-Pullover_Chest.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/02881201-Dumbbell-Around-Pullover_Chest_thumbnail@3x.jpg"
"Assisted Pistol Squats","None","Quadriceps","Hamstrings, Glutes","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/23751201-Single-Leg-Squat-with-Support-(female)_Thighs_.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/23751201-Single-Leg-Squat-with-Support-(female)_Thighs_thumbnail_@3x.jpg"
"Back Extension (Hyperextension)","Machine","Lower Back","Hamstrings, Glutes","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/18601201-Hyperextension-(VERSION-2)_Hips.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/18601201-Hyperextension-(VERSION-2)_Hips_thumbnail@3x.jpg"
"Back Extension (Machine)","Machine","Lower Back","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/05731201-Lever-Back-Extension_Waist.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/05731201-Lever-Back-Extension_Waist_thumbnail@3x.jpg"
"Back Extension (Weighted Hyperextension)","Machine","Lower Back","Hamstrings, Glutes","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/57821201-Weighted-Hyperextension-(female)_Hips_.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/57821201-Weighted-Hyperextension-(female)_Hips_thumbnail_@3x.jpg"
"Ball Slams","Other","Full Body","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/75351201-Medicine-Ball-Slam-(VERSION-2)-(male)_Waist_.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/75351201-Medicine-Ball-Slam-(VERSION-2)-(male)_Waist_thumbnail_@3x.jpg"
"Band Pullaparts","Resistance Band","Shoulders","Upper Back","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/45681201-Resistance-Band-Pull-Apart_Shoulders_.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/45681201-Resistance-Band-Pull-Apart_Shoulders_thumbnail_@3x.jpg"
"Battle Ropes","Machine","Cardio","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/01281201-Battling-Ropes.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/01281201-Battling-Ropes_thumbnail@3x.jpg"
"Behind the Back Bicep Wrist Curl (Barbell)","Barbell","Forearms","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/63651201-EZ-Barbell-Standing-Back-Wrist-Curl_Forearms_.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/63651201-EZ-Barbell-Standing-Back-Wrist-Curl_Forearms_thumbnail_@3x.jpg"
"Behind the Back Curl (Cable)","Machine","Biceps","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/48381201-Cable-Unilateral-Bicep-Curl_Upper-Arms_.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/48381201-Cable-Unilateral-Bicep-Curl_Upper-Arms_thumbnail_@3x.jpg"
"Belt Squat (Machine)","Machine","Quadriceps","Glutes, Hamstrings","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/29501201-Lever-Belt-Squat_Thighs_.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/29501201-Lever-Belt-Squat_Thighs_thumbnail_@3x.jpg"
"Bench Dip","Other","Triceps","Shoulders, Chest","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/13991201-Bench-dip-on-floor_Upper-Arms.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/13991201-Bench-dip-on-floor_Upper-Arms_thumbnail@3x.jpg"
"Bench Press (Barbell)","Barbell","Chest","Triceps, Shoulders","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/00251201-Barbell-Bench-Press_Chest.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/00251201-Barbell-Bench-Press_Chest_thumbnail@3x.jpg"
"Bench Press (Cable)","Machine","Chest","Shoulders, Triceps","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/01511201-Cable-Bench-Press_Chest.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/01511201-Cable-Bench-Press_Chest_thumbnail@3x.jpg"
"Bench Press (Dumbbell)","Dumbbell","Chest","Triceps, Shoulders","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/02891201-Dumbbell-Bench-Press_Chest.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/02891201-Dumbbell-Bench-Press_Chest_thumbnail@3x.jpg"
"Bench Press (Smith Machine)","Machine","Chest","Shoulders, Triceps","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/07481201-Smith-Bench-Press_Chest.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/07481201-Smith-Bench-Press_Chest_thumbnail@3x.jpg"
"Bench Press - Close Grip (Barbell)","Barbell","Triceps","Chest, Shoulders","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/00301201-Barbell-Close-Grip-Bench-Press_Upper-Arms.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/00301201-Barbell-Close-Grip-Bench-Press_Upper-Arms_thumbnail@3x.jpg"
"Bench Press - Wide Grip (Barbell)","Barbell","Chest","Shoulders, Triceps","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/01221201-Barbell-Wide-Bench-Press_Chest.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/01221201-Barbell-Wide-Bench-Press_Chest_thumbnail@3x.jpg"
"Bent Over Row (Band)","Resistance Band","Upper Back","Lats, Biceps, Forearms","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/38991201-Band-bent-over-row-(male)_Back.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/38991201-Band-bent-over-row-(male)_Back_thumbnail_@3x.jpg"
