"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"legs","21 May 2025, 20:44","21 May 2025, 22:03","","Seated Leg Curl (Machine)",,"",0,"warmup",52,5,,,
"legs","21 May 2025, 20:44","21 May 2025, 22:03","","Seated Leg Curl (Machine)",,"",1,"normal",60,5,,,
"legs","21 May 2025, 20:44","21 May 2025, 22:03","","Seated Leg Curl (Machine)",,"",2,"normal",52.5,8,,,
"legs","21 May 2025, 20:44","21 May 2025, 22:03","","Seated Leg Curl (Machine)",,"",3,"normal",52.5,7,,,
"legs","21 May 2025, 20:44","21 May 2025, 22:03","","Leg Extension (Machine)",,"",0,"normal",75,8,,,
"legs","21 May 2025, 20:44","21 May 2025, 22:03","","Leg Extension (Machine)",,"",1,"normal",70,7,,,
"legs","21 May 2025, 20:44","21 May 2025, 22:03","","Leg Extension (Machine)",,"",2,"normal",70,6,,,
"legs","21 May 2025, 20:44","21 May 2025, 22:03","","Hack Squat (Machine)",,"",0,"warmup",147,4,,,
"legs","21 May 2025, 20:44","21 May 2025, 22:03","","Hack Squat (Machine)",,"",1,"normal",177,6,,,
"legs","21 May 2025, 20:44","21 May 2025, 22:03","","Hack Squat (Machine)",,"",2,"normal",167,6,,,
"legs","21 May 2025, 20:44","21 May 2025, 22:03","","Hack Squat (Machine)",,"",3,"normal",147,6,,,
"legs","21 May 2025, 20:44","21 May 2025, 22:03","","Smith Machine RDL",,"",0,"warmup",40,6,,,
"legs","21 May 2025, 20:44","21 May 2025, 22:03","","Smith Machine RDL",,"",1,"normal",105,8,,,
"legs","21 May 2025, 20:44","21 May 2025, 22:03","","Smith Machine RDL",,"",2,"normal",110,7,,,
"upper 1","19 May 2025, 22:24","19 May 2025, 23:30","","Incline Bench Press (Dumbbell)",,"",0,"warmup",40,6,,,
"upper 1","19 May 2025, 22:24","19 May 2025, 23:30","","Incline Bench Press (Dumbbell)",,"",1,"warmup",64,2,,,
"upper 1","19 May 2025, 22:24","19 May 2025, 23:30","","Incline Bench Press (Dumbbell)",,"",2,"normal",72,4,,,
"upper 1","19 May 2025, 22:24","19 May 2025, 23:30","","Incline Bench Press (Dumbbell)",,"",3,"normal",68,5,,,
"upper 1","19 May 2025, 22:24","19 May 2025, 23:30","","Incline Bench Press (Dumbbell)",,"",4,"normal",64,6,,,
"upper 1","19 May 2025, 22:24","19 May 2025, 23:30","","Lat Pulldown (Cable)",,"",0,"normal",85,6,,,
"upper 1","19 May 2025, 22:24","19 May 2025, 23:30","","Lat Pulldown (Cable)",,"",1,"normal",80,7,,,
"upper 1","19 May 2025, 22:24","19 May 2025, 23:30","","Lat Pulldown (Cable)",,"",2,"normal",75,7,,,
"upper 1","19 May 2025, 22:24","19 May 2025, 23:30","","Cable Fly Crossovers",,"",0,"normal",40,5,,,
"upper 1","19 May 2025, 22:24","19 May 2025, 23:30","","Cable Fly Crossovers",,"",1,"normal",35,3,,,
"upper 1","19 May 2025, 22:24","19 May 2025, 23:30","","Cable Fly Crossovers",,"",2,"normal",30,1,,,
"upper 1","19 May 2025, 22:24","19 May 2025, 23:30","","Cable Fly Crossovers",,"",3,"normal",30,5,,,
"upper 1","19 May 2025, 22:24","19 May 2025, 23:30","","Seated Cable Row - V Grip (Cable)",,"",0,"normal",85,5,,,
"upper 1","19 May 2025, 22:24","19 May 2025, 23:30","","Seated Cable Row - V Grip (Cable)",,"",1,"normal",80,6,,,
"upper 1","19 May 2025, 22:24","19 May 2025, 23:30","","Seated Cable Row - V Grip (Cable)",,"",2,"normal",75,8,,,
"upper 1","19 May 2025, 22:24","19 May 2025, 23:30","","Skullcrusher (Barbell)",,"",0,"normal",37.5,6,,,
"upper 1","19 May 2025, 22:24","19 May 2025, 23:30","","Skullcrusher (Barbell)",,"",1,"normal",37.5,5,,,
"upper 1","19 May 2025, 22:24","19 May 2025, 23:30","","Skullcrusher (Barbell)",,"",2,"normal",32.5,7,,,
"upper 1","19 May 2025, 22:24","19 May 2025, 23:30","","Lateral Raise (Dumbbell)",,"",0,"normal",28,12,,,
"upper 1","19 May 2025, 22:24","19 May 2025, 23:30","","Lateral Raise (Dumbbell)",,"",1,"normal",24,13,,,
"upper 1","19 May 2025, 22:24","19 May 2025, 23:30","","Lateral Raise (Dumbbell)",,"",2,"normal",20,12,,,
"box","18 May 2025, 20:10","18 May 2025, 21:12","","Boxing",,"",0,"normal",,,,2400,
"box","18 May 2025, 20:10","18 May 2025, 21:12","","Stretching",,"",0,"normal",,,,300,
"upper 3","17 May 2025, 22:58","18 May 2025, 00:05","","Overhead Press (Barbell)",,"",0,"warmup",20,5,,,
"upper 3","17 May 2025, 22:58","18 May 2025, 00:05","","Overhead Press (Barbell)",,"",1,"warmup",40,1,,,
"upper 3","17 May 2025, 22:58","18 May 2025, 00:05","","Overhead Press (Barbell)",,"",2,"normal",55,5,,,
"upper 3","17 May 2025, 22:58","18 May 2025, 00:05","","Overhead Press (Barbell)",,"",3,"normal",50,7,,,
"upper 3","17 May 2025, 22:58","18 May 2025, 00:05","","Overhead Press (Barbell)",,"",4,"normal",50,5,,,
"upper 3","17 May 2025, 22:58","18 May 2025, 00:05","","Preacher Curl (Barbell)",,"",0,"normal",35,5,,,
"upper 3","17 May 2025, 22:58","18 May 2025, 00:05","","Preacher Curl (Barbell)",,"",1,"normal",30,7,,,
"upper 3","17 May 2025, 22:58","18 May 2025, 00:05","","Preacher Curl (Barbell)",,"",2,"normal",30,5,,,
"upper 3","17 May 2025, 22:58","18 May 2025, 00:05","","Skullcrusher (Barbell)",,"",0,"normal",35,8,,,
"upper 3","17 May 2025, 22:58","18 May 2025, 00:05","","Skullcrusher (Barbell)",,"",1,"normal",37.5,8,,,
"upper 3","17 May 2025, 22:58","18 May 2025, 00:05","","Skullcrusher (Barbell)",,"",2,"normal",37.5,7,,,
"upper 3","17 May 2025, 22:58","18 May 2025, 00:05","","Bayesian Curl",,"",0,"normal",30,5,,,
"upper 3","17 May 2025, 22:58","18 May 2025, 00:05","","Bayesian Curl",,"",1,"normal",27.5,6,,,
"upper 3","17 May 2025, 22:58","18 May 2025, 00:05","","Lateral Raise (Dumbbell)",,"slow in the eccentric",0,"normal",24,16,,,
